coin,block,total_supply,total_supply_pct,date
FIL,1742401,20930156.4453125,99.66741165919683,2053-12-01
FIL,1746865,20931028.3203125,99.67156344491175,2054-01-01
FIL,1751329,20931900.1953125,99.67571523062665,2054-02-01
FIL,1755361,20932687.6953125,99.6794652306272,2054-03-01
FIL,1759825,20933559.5703125,99.68361701634211,2054-04-01
FIL,1764145,20934403.3203125,99.68763487348556,2054-05-01
FIL,1768609,20935275.1953125,99.69178665920047,2054-06-01
FIL,1772929,20936118.9453125,99.69580451634393,2054-07-01
FIL,1777393,20936990.8203125,99.69995630205884,2054-08-01
FIL,1781857,20937862.6953125,99.70410808777373,2054-09-01
FIL,1786177,20938706.4453125,99.70812594491719,2054-10-01
FIL,1790641,20939578.3203125,99.7122777306321,2054-11-01
FIL,1794961,20940422.0703125,99.71629558777555,2054-12-01
FIL,1799425,20941293.9453125,99.72044737349046,2055-01-01
FIL,1803889,20942165.8203125,99.72459915920537,2055-02-01
FIL,1807921,20942953.3203125,99.72834915920592,2055-03-01
FIL,1812385,20943825.1953125,99.73250094492082,2055-04-01
FIL,1816705,20944668.9453125,99.73651880206428,2055-05-01
FIL,1821169,20945540.8203125,99.74067058777919,2055-06-01
FIL,1825489,20946384.5703125,99.74468844492263,2055-07-01
FIL,1829953,20947256.4453125,99.74884023063754,2055-08-01
FIL,1834417,20948128.3203125,99.75299201635245,2055-09-01
FIL,1838737,20948972.0703125,99.7570098734959,2055-10-01
FIL,1843201,20949843.9453125,99.76116165921081,2055-11-01
FIL,1847521,20950687.6953125,99.76517951635427,2055-12-01
FIL,1851985,20951559.5703125,99.76933130206918,2056-01-01
FIL,1856449,20952431.4453125,99.77348308778407,2056-02-01
FIL,1860625,20953247.0703125,99.77736701635608,2056-03-01
FIL,1865089,20954118.9453125,99.78151880207099,2056-04-01
FIL,1869409,20954962.6953125,99.78553665921444,2056-05-01
FIL,1873873,20955834.5703125,99.78968844492935,2056-06-01
FIL,1878193,20956678.3203125,99.7937063020728,2056-07-01
FIL,1882657,20957550.1953125,99.7978580877877,2056-08-01
FIL,1887121,20958422.0703125,99.80200987350261,2056-09-01
FIL,1891441,20959125.09765625,99.80535762275906,2056-10-01
FIL,1895905,20959561.03515625,99.80743351561652,2056-11-01
FIL,1900225,20959982.91015625,99.80944244418825,2056-12-01
FIL,1904689,20960418.84765625,99.8115183370457,2057-01-01
FIL,1909153,20960854.78515625,99.81359422990315,2057-02-01
FIL,1913185,20961248.53515625,99.81546922990343,2057-03-01
FIL,1917649,20961684.47265625,99.81754512276088,2057-04-01
FIL,1921969,20962106.34765625,99.8195540513326,2057-05-01
FIL,1926433,20962542.28515625,99.82162994419006,2057-06-01
FIL,1930753,20962964.16015625,99.82363887276179,2057-07-01
FIL,1935217,20963400.09765625,99.82571476561924,2057-08-01
FIL,1939681,20963836.03515625,99.82779065847669,2057-09-01
FIL,1944001,20964257.91015625,99.82979958704841,2057-10-01
FIL,1948465,20964693.84765625,99.83187547990588,2057-11-01
FIL,1952785,20965115.72265625,99.8338844084776,2057-12-01
FIL,1957249,20965551.66015625,99.83596030133505,2058-01-01
FIL,1961713,20965987.59765625,99.8380361941925,2058-02-01
FIL,1965745,20966381.34765625,99.8399111941928,2058-03-01
FIL,1970209,20966817.28515625,99.84198708705023,2058-04-01
FIL,1974529,20967239.16015625,99.84399601562195,2058-05-01
FIL,1978993,20967675.09765625,99.84607190847942,2058-06-01
FIL,1983313,20968096.97265625,99.84808083705114,2058-07-01
FIL,1987777,20968532.91015625,99.85015672990859,2058-08-01
FIL,1992241,20968968.84765625,99.85223262276605,2058-09-01
FIL,1996561,20969390.72265625,99.85424155133778,2058-10-01
FIL,2001025,20969826.66015625,99.85631744419523,2058-11-01
FIL,2005345,20970248.53515625,99.85832637276695,2058-12-01
FIL,2009809,20970684.47265625,99.8604022656244,2059-01-01
FIL,2014273,20971120.41015625,99.86247815848186,2059-02-01
FIL,2018305,20971514.16015625,99.86435315848215,2059-03-01
FIL,2022769,20971950.09765625,99.8664290513396,2059-04-01
FIL,2027089,20972371.97265625,99.86843797991132,2059-05-01
FIL,2031553,20972807.91015625,99.87051387276877,2059-06-01
FIL,2035873,20973229.78515625,99.87252280134051,2059-07-01
FIL,2040337,20973665.72265625,99.87459869419794,2059-08-01
FIL,2044801,20974101.66015625,99.8766745870554,2059-09-01
FIL,2049121,20974523.53515625,99.87868351562713,2059-10-01
FIL,2053585,20974959.47265625,99.8807594084846,2059-11-01
FIL,2057905,20975381.34765625,99.88276833705632,2059-12-01
FIL,2062369,20975817.28515625,99.88484422991377,2060-01-01
FIL,2066833,20976253.22265625,99.88692012277122,2060-02-01
FIL,2071009,20976661.03515625,99.88886208705722,2060-03-01
FIL,2075473,20977096.97265625,99.89093797991467,2060-04-01
