coin,layer,simple,baseline,vault1,vault2,comfund,simple_pct,baseline_pct,vault1_pct,vault2_pct,comfund_pct,total_authorized,total_issued,total_authorized_pct,total_issued_pct,date
SMH,5421001,1279169.6234065057,2882349.0341798756,1500000,1500000.0,219027.29776770432,99.74042514479042,96.3558199089373,100.0,100.0,97.37147168537314,5880545.955354085,5880545.955354085,98.02873542072196,98.02873542072196,2073-01-01
SMH,5423001,1279176.9303874308,2882490.4567299127,1500000,1500000.0,219035.12563775494,99.74099489048378,96.36054761040607,100.0,100.0,97.37495166816413,5880702.512755099,5880702.512755099,98.03134523351122,98.03134523351122,2073-01-01
SMH,5425001,1279184.2213365438,2882631.9976481465,1500000,1500000.0,219042.95889393106,99.74156338613199,96.36527926887817,100.0,100.0,97.3784340454282,5880859.177878622,5880859.177878622,98.03395684203535,98.03395684203535,2073-01-01
SMH,5427001,1279191.4962890197,2882773.220909004,1500000,1500000.0,219050.77458936968,99.74213063447776,96.3700003081863,100.0,100.0,97.38190861583499,5881015.491787394,5881015.491787394,98.03656259580751,98.03656259580751,2073-02-01
SMH,5429001,1279198.755279956,2882914.0931372438,1500000,1500000.0,219058.57096932633,99.74269663825777,96.37470961260901,100.0,100.0,97.38537459928972,5881171.419386526,5881171.419386526,98.03916190979572,98.03916190979572,2073-02-01
SMH,5431001,1279205.9983443723,2883054.532555061,1500000,1500000.0,219066.34373154916,99.74326140020256,96.37940444834571,100.0,100.0,97.38883008316964,5881326.874630983,5881326.874630983,98.04175334962876,98.04175334962876,2073-02-01
SMH,5433001,1279213.2255172124,2883194.5769931534,1500000,1500000.0,219074.0948689666,99.74382492303681,96.38408608006208,100.0,100.0,97.39227595345733,5881481.897379332,5881481.897379332,98.04433757974914,98.04433757974914,2073-02-01
SMH,5435001,1279220.436833343,2883333.8635229515,1500000,1500000.0,219081.80528191026,99.74438720947917,96.3887423751956,100.0,100.0,97.39570371914351,5881636.105638205,5881636.105638205,98.04690823232521,98.04690823232521,2073-03-01
SMH,5437001,1279227.6323275543,2883472.7735522836,1500000,1500000.0,219089.49504630725,99.74494826224233,96.39338608406332,100.0,100.0,97.39912230524615,5881789.900926145,5881789.900926145,98.04947200067339,98.04947200067339,2073-03-01
SMH,5439001,1279234.8120345604,2883612.334050172,1500000,1500000.0,219097.2182149859,99.74550808403305,96.39805153784475,100.0,100.0,97.40255574166244,5881944.364299718,5881944.364299718,98.05204690601299,98.05204690601299,2073-03-01
SMH,5441001,1279241.975988999,2883752.552151381,1500000,1500000.0,219104.9751652832,99.74606667755211,96.40273897505234,100.0,100.0,97.40600419614248,5882099.503305663,5882099.503305663,98.05463307414817,98.05463307414817,2073-03-01
SMH,5443001,1279249.124225432,2883892.91366717,1500000,1500000.0,219112.73883645274,99.74662404549443,96.4074312065542,100.0,100.0,97.40945563847485,5882254.776729055,5882254.776729055,98.05722148302297,98.05722148302297,2073-03-01
SMH,5445001,1279256.256778345,2884032.5982490103,1500000,1500000.0,219120.46605407135,99.74718019054892,96.41210080841444,100.0,100.0,97.41289087490075,5882409.321081427,5882409.321081427,98.05979773827961,98.05979773827961,2073-04-01
SMH,5447001,1279263.3736821488,2884171.6252191607,1500000,1500000.0,219128.15783691104,99.74773511539868,96.41674842656874,100.0,100.0,97.41631035832869,5882563.156738221,5882563.156738221,98.06236217957685,98.06236217957685,2073-04-01
SMH,5449001,1279270.4749711778,2884311.103616904,1500000,1500000.0,219135.87255726746,99.7482888227209,96.4214111357739,100.0,100.0,97.41974003893198,5882717.451145349,5882717.451145349,98.06493426824481,98.06493426824481,2073-04-01
SMH,5451001,1279277.5606796911,2884450.354504705,1500000,1500000.0,219143.57448338927,99.74884131518682,96.42606623940915,100.0,100.0,97.42316403168967,5882871.489667785,5882871.489667785,98.06750209131349,98.06750209131349,2073-04-01
SMH,5453001,1279284.6308418736,2884589.9968232885,1500000,1500000.0,219151.29619290328,99.74939259546194,96.43073442842497,100.0,100.0,97.42659681941508,5883025.923858065,5883025.923858065,98.07007651016741,98.07007651016741,2073-05-01
SMH,5455001,1279291.6854918343,2884730.287543789,1500000,1500000.0,219159.05121240125,99.74994266620585,96.43542429326754,100.0,100.0,97.43004441553283,5883181.024248024,5883181.024248024,98.07266203457388,98.07266203457388,2073-05-01
SMH,5457001,1279298.7246636078,2884870.5618588193,1500000,1500000.0,219166.80455381196,99.75049153007231,96.44011360968156,100.0,100.0,97.43349126563479,5883336.091076239,5883336.091076239,98.07524699950588,98.07524699950588,2073-05-01
SMH,5459001,1279305.7483911535,2885010.88868684,1500000,1500000.0,219174.5598462102,99.75103918970922,96.44480468158466,100.0,100.0,97.43693898307396,5883491.196924204,5883491.196924204,98.07783261489735,98.07783261489735,2073-05-01
SMH,5461001,1279312.7567083573,2885151.017994094,1500000,1500000.0,219182.30393170798,99.75158564775877,96.44948915044449,100.0,100.0,97.44038171833782,5883646.07863416,5883646.07863416,98.08041449390689,98.08041449390689,2073-05-01
SMH,5463001,1279319.7496490295,2885290.820060556,1500000,1500000.0,219190.02998471505,99.75213090685725,96.45416267977043,100.0,100.0,97.44381643702032,5883800.5996943,5883800.5996943,98.08299036088191,98.08299036088191,2073-06-01
SMH,5465001,1279326.7272469073,2885429.657408785,1500000,1500000.0,219197.70445556278,99.75267496963524,96.45880395893684,100.0,100.0,97.44722822417408,5883954.0891112555,5883954.0891112555,98.08554903035899,98.08554903035899,2073-06-01
SMH,5467001,1279333.689535653,2885568.5499102627,1500000,1500000.0,219205.38102346926,99.75321783871746,96.46344708185511,100.0,100.0,97.45064094360296,5884107.620469385,5884107.620469385,98.0881083989957,98.0881083989957,2073-06-01
SMH,5469001,1279340.6365488556,2885707.4226640468,1500000,1500000.0,219213.0557480475,99.75375951672298,96.4680895446156,100.0,100.0,97.45405284355598,5884261.11496095,5884261.11496095,98.09066715306656,98.09066715306656,2073-06-01
SMH,5471001,1279347.5683200303,2885846.1880730567,1500000,1500000.0,219220.7240206888,99.75430000626504,96.47272841888153,100.0,100.0,97.4574618752154,5884414.480413776,5884414.480413776,98.0932237560609,98.0932237560609,2073-07-01
SMH,5473001,1279354.484882619,2885984.872344296,1500000,1500000.0,219228.38722246923,99.75483930995121,96.47736458074301,100.0,100.0,97.4608686525568,5884567.744449384,5884567.744449384,98.0957786684296,98.0957786684296,2073-07-01
SMH,5475001,1279361.3862699894,2886123.057477339,1500000,1500000.0,219236.02335512257,99.75537743038325,96.48198405660654,100.0,100.0,97.46426339596101,5884720.467102451,5884720.467102451,98.0983245559482,98.0983245559482,2073-07-01
SMH,5477001,1279368.2725154369,2886261.255509181,1500000,1500000.0,219243.65936971677,99.75591437015731,96.48660396367191,100.0,100.0,97.46765808688049,5884873.187394334,5884873.187394334,98.10087040410585,98.10087040410585,2073-07-01
